,rouge_distilbart,rouge_gpt2,rouge_t5
20,"[{'rouge-1': {'r': 0.5272727272727272, 'p': 0.5918367346938775, 'f': 0.5576923027089498}, 'rouge-2': {'r': 0.2898550724637681, 'p': 0.4, 'f': 0.3361344489089754}, 'rouge-l': {'r': 0.509090909090909, 'p': 0.5714285714285714, 'f': 0.5384615334781805}}]","[{'rouge-1': {'r': 0.30952380952380953, 'p': 0.5306122448979592, 'f': 0.39097743895528303}, 'rouge-2': {'r': 0.12173913043478261, 'p': 0.28, 'f': 0.16969696547291102}, 'rouge-l': {'r': 0.2976190476190476, 'p': 0.5102040816326531, 'f': 0.37593984497032057}}]","[{'rouge-1': {'r': 0.421875, 'p': 0.5510204081632653, 'f': 0.4778761012827943}, 'rouge-2': {'r': 0.24358974358974358, 'p': 0.38, 'f': 0.29687499523925787}, 'rouge-l': {'r': 0.421875, 'p': 0.5510204081632653, 'f': 0.4778761012827943}}]"
21,"[{'rouge-1': {'r': 0.28125, 'p': 0.13043478260869565, 'f': 0.17821781745319093}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.28125, 'p': 0.13043478260869565, 'f': 0.17821781745319093}}]","[{'rouge-1': {'r': 0.21764705882352942, 'p': 0.5362318840579711, 'f': 0.3096234268552722}, 'rouge-2': {'r': 0.07234042553191489, 'p': 0.22077922077922077, 'f': 0.10897435525661585}, 'rouge-l': {'r': 0.20588235294117646, 'p': 0.5072463768115942, 'f': 0.292887025181632}}]","[{'rouge-1': {'r': 0.16666666666666666, 'p': 0.08695652173913043, 'f': 0.114285709779592}, 'rouge-2': {'r': 0.025, 'p': 0.012987012987012988, 'f': 0.017094012594054808}, 'rouge-l': {'r': 0.16666666666666666, 'p': 0.08695652173913043, 'f': 0.114285709779592}}]"
22,"[{'rouge-1': {'r': 0.047619047619047616, 'p': 0.07692307692307693, 'f': 0.058823524688581694}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.047619047619047616, 'p': 0.07692307692307693, 'f': 0.058823524688581694}}]","[{'rouge-1': {'r': 0.05555555555555555, 'p': 0.38461538461538464, 'f': 0.09708737643510233}, 'rouge-2': {'r': 0.008695652173913044, 'p': 0.07692307692307693, 'f': 0.015624998175049042}, 'rouge-l': {'r': 0.044444444444444446, 'p': 0.3076923076923077, 'f': 0.077669900706947}}]","[{'rouge-1': {'r': 0.0625, 'p': 0.23076923076923078, 'f': 0.09836065238376793}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0625, 'p': 0.23076923076923078, 'f': 0.09836065238376793}}]"
23,"[{'rouge-1': {'r': 0.5833333333333334, 'p': 0.34146341463414637, 'f': 0.4307692261112427}, 'rouge-2': {'r': 0.28, 'p': 0.13725490196078433, 'f': 0.18421052190096965}, 'rouge-l': {'r': 0.5416666666666666, 'p': 0.3170731707317073, 'f': 0.39999999534201186}}]","[{'rouge-1': {'r': 0.18085106382978725, 'p': 0.4146341463414634, 'f': 0.2518518476224966}, 'rouge-2': {'r': 0.058333333333333334, 'p': 0.13725490196078433, 'f': 0.08187134084333662}, 'rouge-l': {'r': 0.1702127659574468, 'p': 0.3902439024390244, 'f': 0.2370370328076818}}]","[{'rouge-1': {'r': 0.19230769230769232, 'p': 0.12195121951219512, 'f': 0.14925372659389638}, 'rouge-2': {'r': 0.03333333333333333, 'p': 0.0196078431372549, 'f': 0.024691353360769053}, 'rouge-l': {'r': 0.19230769230769232, 'p': 0.12195121951219512, 'f': 0.14925372659389638}}]"
24,"[{'rouge-1': {'r': 0.2857142857142857, 'p': 0.3, 'f': 0.29268292183224276}, 'rouge-2': {'r': 0.04081632653061224, 'p': 0.045454545454545456, 'f': 0.043010747702625154}, 'rouge-l': {'r': 0.2619047619047619, 'p': 0.275, 'f': 0.2682926779298037}}]","[{'rouge-1': {'r': 0.15294117647058825, 'p': 0.325, 'f': 0.20799999564800012}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.1411764705882353, 'p': 0.3, 'f': 0.1919999956480001}}]","[{'rouge-1': {'r': 0.23728813559322035, 'p': 0.35, 'f': 0.28282827801244775}, 'rouge-2': {'r': 0.02857142857142857, 'p': 0.045454545454545456, 'f': 0.03508771455832628}, 'rouge-l': {'r': 0.22033898305084745, 'p': 0.325, 'f': 0.26262625781042753}}]"
25,"[{'rouge-1': {'r': 0.2708333333333333, 'p': 0.43333333333333335, 'f': 0.33333332859960557}, 'rouge-2': {'r': 0.06666666666666667, 'p': 0.12903225806451613, 'f': 0.08791208341987707}, 'rouge-l': {'r': 0.2708333333333333, 'p': 0.43333333333333335, 'f': 0.33333332859960557}}]","[{'rouge-1': {'r': 0.18181818181818182, 'p': 0.5333333333333333, 'f': 0.27118643688595234}, 'rouge-2': {'r': 0.03418803418803419, 'p': 0.12903225806451613, 'f': 0.05405405074233038}, 'rouge-l': {'r': 0.18181818181818182, 'p': 0.5333333333333333, 'f': 0.27118643688595234}}]","[{'rouge-1': {'r': 0.2037037037037037, 'p': 0.36666666666666664, 'f': 0.26190475731292523}, 'rouge-2': {'r': 0.043478260869565216, 'p': 0.0967741935483871, 'f': 0.05999999572200031}, 'rouge-l': {'r': 0.2037037037037037, 'p': 0.36666666666666664, 'f': 0.26190475731292523}}]"
26,"[{'rouge-1': {'r': 0.4117647058823529, 'p': 0.6086956521739131, 'f': 0.4912280653616498}, 'rouge-2': {'r': 0.15384615384615385, 'p': 0.25, 'f': 0.19047618575963732}, 'rouge-l': {'r': 0.38235294117647056, 'p': 0.5652173913043478, 'f': 0.45614034606340415}}]","[{'rouge-1': {'r': 0.14736842105263157, 'p': 0.6086956521739131, 'f': 0.23728813245475439}, 'rouge-2': {'r': 0.022900763358778626, 'p': 0.125, 'f': 0.03870967480208134}, 'rouge-l': {'r': 0.12631578947368421, 'p': 0.5217391304347826, 'f': 0.20338982737000863}}]","[{'rouge-1': {'r': 0.19672131147540983, 'p': 0.5217391304347826, 'f': 0.2857142817375284}, 'rouge-2': {'r': 0.0945945945945946, 'p': 0.2916666666666667, 'f': 0.142857139158684}, 'rouge-l': {'r': 0.19672131147540983, 'p': 0.5217391304347826, 'f': 0.2857142817375284}}]"
27,"[{'rouge-1': {'r': 0.34285714285714286, 'p': 0.21818181818181817, 'f': 0.26666666191358035}, 'rouge-2': {'r': 0.15789473684210525, 'p': 0.09090909090909091, 'f': 0.11538461074704161}, 'rouge-l': {'r': 0.34285714285714286, 'p': 0.21818181818181817, 'f': 0.26666666191358035}}]","[{'rouge-1': {'r': 0.14516129032258066, 'p': 0.4909090909090909, 'f': 0.22406638651882718}, 'rouge-2': {'r': 0.04727272727272727, 'p': 0.19696969696969696, 'f': 0.0762463311891024}, 'rouge-l': {'r': 0.12903225806451613, 'p': 0.43636363636363634, 'f': 0.19917012095866118}}]","[{'rouge-1': {'r': 0.22388059701492538, 'p': 0.2727272727272727, 'f': 0.24590163439263651}, 'rouge-2': {'r': 0.08433734939759036, 'p': 0.10606060606060606, 'f': 0.09395972660871156}, 'rouge-l': {'r': 0.19402985074626866, 'p': 0.23636363636363636, 'f': 0.2131147491467349}}]"
28,"[{'rouge-1': {'r': 0.40476190476190477, 'p': 0.4722222222222222, 'f': 0.4358974309270217}, 'rouge-2': {'r': 0.2222222222222222, 'p': 0.25, 'f': 0.23529411266435996}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.3888888888888889, 'f': 0.3589743540039448}}]","[{'rouge-1': {'r': 0.4107142857142857, 'p': 0.6388888888888888, 'f': 0.49999999523629496}, 'rouge-2': {'r': 0.12121212121212122, 'p': 0.2, 'f': 0.15094339152723404}, 'rouge-l': {'r': 0.3392857142857143, 'p': 0.5277777777777778, 'f': 0.41304347349716447}}]","[{'rouge-1': {'r': 0.38095238095238093, 'p': 0.4444444444444444, 'f': 0.4102564052859961}, 'rouge-2': {'r': 0.19230769230769232, 'p': 0.25, 'f': 0.21739129943289237}, 'rouge-l': {'r': 0.38095238095238093, 'p': 0.4444444444444444, 'f': 0.4102564052859961}}]"
29,"[{'rouge-1': {'r': 0.37735849056603776, 'p': 0.4166666666666667, 'f': 0.39603959897264984}, 'rouge-2': {'r': 0.15873015873015872, 'p': 0.20408163265306123, 'f': 0.17857142364955372}, 'rouge-l': {'r': 0.37735849056603776, 'p': 0.4166666666666667, 'f': 0.39603959897264984}}]","[{'rouge-1': {'r': 0.2236842105263158, 'p': 0.3541666666666667, 'f': 0.2741935436420396}, 'rouge-2': {'r': 0.06976744186046512, 'p': 0.12244897959183673, 'f': 0.08888888426447214}, 'rouge-l': {'r': 0.21052631578947367, 'p': 0.3333333333333333, 'f': 0.2580645113839751}}]","[{'rouge-1': {'r': 0.25, 'p': 0.3125, 'f': 0.2777777728395062}, 'rouge-2': {'r': 0.057971014492753624, 'p': 0.08163265306122448, 'f': 0.06779660531312877}, 'rouge-l': {'r': 0.23333333333333334, 'p': 0.2916666666666667, 'f': 0.25925925432098773}}]"
30,"[{'rouge-1': {'r': 0.40540540540540543, 'p': 0.5, 'f': 0.44776118908442863}, 'rouge-2': {'r': 0.15217391304347827, 'p': 0.2028985507246377, 'f': 0.17391303858030185}, 'rouge-l': {'r': 0.36486486486486486, 'p': 0.45, 'f': 0.40298506968144354}}]","[{'rouge-1': {'r': 0.19607843137254902, 'p': 0.3333333333333333, 'f': 0.24691357558299043}, 'rouge-2': {'r': 0.028169014084507043, 'p': 0.057971014492753624, 'f': 0.03791468754161009}, 'rouge-l': {'r': 0.17647058823529413, 'p': 0.3, 'f': 0.22222221755829916}}]","[{'rouge-1': {'r': 0.3492063492063492, 'p': 0.36666666666666664, 'f': 0.3577235722387468}, 'rouge-2': {'r': 0.1267605633802817, 'p': 0.13043478260869565, 'f': 0.1285714235724492}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.35, 'f': 0.34146340963712074}}]"
31,"[{'rouge-1': {'r': 0.625, 'p': 0.7352941176470589, 'f': 0.6756756707085465}, 'rouge-2': {'r': 0.46808510638297873, 'p': 0.6111111111111112, 'f': 0.5301204770155321}, 'rouge-l': {'r': 0.6, 'p': 0.7058823529411765, 'f': 0.6486486436815194}}]","[{'rouge-1': {'r': 0.14018691588785046, 'p': 0.4411764705882353, 'f': 0.21276595378703286}, 'rouge-2': {'r': 0.04285714285714286, 'p': 0.16666666666666666, 'f': 0.06818181492768612}, 'rouge-l': {'r': 0.12149532710280374, 'p': 0.38235294117647056, 'f': 0.18439715946079174}}]","[{'rouge-1': {'r': 0.375, 'p': 0.4411764705882353, 'f': 0.40540540043827616}, 'rouge-2': {'r': 0.19607843137254902, 'p': 0.2777777777777778, 'f': 0.22988505261989708}, 'rouge-l': {'r': 0.325, 'p': 0.38235294117647056, 'f': 0.35135134638422216}}]"
32,"[{'rouge-1': {'r': 0.3, 'p': 0.13636363636363635, 'f': 0.1874999957031251}, 'rouge-2': {'r': 0.06666666666666667, 'p': 0.0273972602739726, 'f': 0.03883494732774104}, 'rouge-l': {'r': 0.26666666666666666, 'p': 0.12121212121212122, 'f': 0.16666666236979177}}]","[{'rouge-1': {'r': 0.13636363636363635, 'p': 0.22727272727272727, 'f': 0.17045454076704555}, 'rouge-2': {'r': 0.0070921985815602835, 'p': 0.0136986301369863, 'f': 0.00934578989737311}, 'rouge-l': {'r': 0.12727272727272726, 'p': 0.21212121212121213, 'f': 0.15909090440340923}}]","[{'rouge-1': {'r': 0.16393442622950818, 'p': 0.15151515151515152, 'f': 0.15748030996838008}, 'rouge-2': {'r': 0.014084507042253521, 'p': 0.0136986301369863, 'f': 0.013888883889855192}, 'rouge-l': {'r': 0.14754098360655737, 'p': 0.13636363636363635, 'f': 0.14173227847231712}}]"
33,"[{'rouge-1': {'r': 0.2972972972972973, 'p': 0.34375, 'f': 0.3188405747364}, 'rouge-2': {'r': 0.13333333333333333, 'p': 0.18181818181818182, 'f': 0.1538461489644972}, 'rouge-l': {'r': 0.2972972972972973, 'p': 0.34375, 'f': 0.3188405747364}}]","[{'rouge-1': {'r': 0.050761421319796954, 'p': 0.3125, 'f': 0.08733624213725907}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.050761421319796954, 'p': 0.3125, 'f': 0.08733624213725907}}]","[{'rouge-1': {'r': 0.23404255319148937, 'p': 0.34375, 'f': 0.27848100783848745}, 'rouge-2': {'r': 0.07547169811320754, 'p': 0.12121212121212122, 'f': 0.09302325108437018}, 'rouge-l': {'r': 0.23404255319148937, 'p': 0.34375, 'f': 0.27848100783848745}}]"
34,"[{'rouge-1': {'r': 0.4782608695652174, 'p': 0.5945945945945946, 'f': 0.5301204769865003}, 'rouge-2': {'r': 0.2857142857142857, 'p': 0.3333333333333333, 'f': 0.3076923027218935}, 'rouge-l': {'r': 0.4782608695652174, 'p': 0.5945945945945946, 'f': 0.5301204769865003}}]","[{'rouge-1': {'r': 0.0625, 'p': 0.13513513513513514, 'f': 0.08547008114544546}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.05, 'p': 0.10810810810810811, 'f': 0.06837606405142843}}]","[{'rouge-1': {'r': 0.18867924528301888, 'p': 0.2702702702702703, 'f': 0.22222221738024703}, 'rouge-2': {'r': 0.03389830508474576, 'p': 0.047619047619047616, 'f': 0.039603955537692984}, 'rouge-l': {'r': 0.18867924528301888, 'p': 0.2702702702702703, 'f': 0.22222221738024703}}]"
35,"[{'rouge-1': {'r': 0.39215686274509803, 'p': 0.5128205128205128, 'f': 0.44444443953333335}, 'rouge-2': {'r': 0.18032786885245902, 'p': 0.2391304347826087, 'f': 0.20560747173377597}, 'rouge-l': {'r': 0.37254901960784315, 'p': 0.48717948717948717, 'f': 0.4222222173111111}}]","[{'rouge-1': {'r': 0.2597402597402597, 'p': 0.5128205128205128, 'f': 0.3448275817434602}, 'rouge-2': {'r': 0.052083333333333336, 'p': 0.10869565217391304, 'f': 0.07042253083118456}, 'rouge-l': {'r': 0.23376623376623376, 'p': 0.46153846153846156, 'f': 0.31034482312277056}}]","[{'rouge-1': {'r': 0.3829787234042553, 'p': 0.46153846153846156, 'f': 0.41860464620605736}, 'rouge-2': {'r': 0.1346153846153846, 'p': 0.15217391304347827, 'f': 0.14285713787588525}, 'rouge-l': {'r': 0.3191489361702128, 'p': 0.38461538461538464, 'f': 0.34883720434559223}}]"
36,"[{'rouge-1': {'r': 0.21568627450980393, 'p': 0.2619047619047619, 'f': 0.23655913483177257}, 'rouge-2': {'r': 0.07692307692307693, 'p': 0.09615384615384616, 'f': 0.08547008053181417}, 'rouge-l': {'r': 0.21568627450980393, 'p': 0.2619047619047619, 'f': 0.23655913483177257}}]","[{'rouge-1': {'r': 0.08130081300813008, 'p': 0.23809523809523808, 'f': 0.12121211741708}, 'rouge-2': {'r': 0.023391812865497075, 'p': 0.07692307692307693, 'f': 0.035874435885700856}, 'rouge-l': {'r': 0.08130081300813008, 'p': 0.23809523809523808, 'f': 0.12121211741708}}]","[{'rouge-1': {'r': 0.1794871794871795, 'p': 0.16666666666666666, 'f': 0.17283950117969835}, 'rouge-2': {'r': 0.019230769230769232, 'p': 0.019230769230769232, 'f': 0.019230764230770532}, 'rouge-l': {'r': 0.1794871794871795, 'p': 0.16666666666666666, 'f': 0.17283950117969835}}]"
37,"[{'rouge-1': {'r': 0.30612244897959184, 'p': 0.4838709677419355, 'f': 0.374999995253125}, 'rouge-2': {'r': 0.17307692307692307, 'p': 0.2571428571428571, 'f': 0.20689654691504833}, 'rouge-l': {'r': 0.30612244897959184, 'p': 0.4838709677419355, 'f': 0.374999995253125}}]","[{'rouge-1': {'r': 0.35135135135135137, 'p': 0.8387096774193549, 'f': 0.495238091076644}, 'rouge-2': {'r': 0.27586206896551724, 'p': 0.6857142857142857, 'f': 0.39344261885917764}, 'rouge-l': {'r': 0.33783783783783783, 'p': 0.8064516129032258, 'f': 0.4761904720290249}}]","[{'rouge-1': {'r': 0.21153846153846154, 'p': 0.3548387096774194, 'f': 0.26506023628393094}, 'rouge-2': {'r': 0.034482758620689655, 'p': 0.05714285714285714, 'f': 0.043010747993988255}, 'rouge-l': {'r': 0.19230769230769232, 'p': 0.3225806451612903, 'f': 0.2409638507417623}}]"
38,"[{'rouge-1': {'r': 0.391304347826087, 'p': 0.5142857142857142, 'f': 0.444444439536656}, 'rouge-2': {'r': 0.12962962962962962, 'p': 0.17073170731707318, 'f': 0.14736841614626056}, 'rouge-l': {'r': 0.391304347826087, 'p': 0.5142857142857142, 'f': 0.444444439536656}}]","[{'rouge-1': {'r': 0.08928571428571429, 'p': 0.42857142857142855, 'f': 0.14778324837778162}, 'rouge-2': {'r': 0.008547008547008548, 'p': 0.04878048780487805, 'f': 0.014545452008198791}, 'rouge-l': {'r': 0.08928571428571429, 'p': 0.42857142857142855, 'f': 0.14778324837778162}}]","[{'rouge-1': {'r': 0.10714285714285714, 'p': 0.17142857142857143, 'f': 0.1318681271344042}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.10714285714285714, 'p': 0.17142857142857143, 'f': 0.1318681271344042}}]"
39,"[{'rouge-1': {'r': 0.175, 'p': 0.21212121212121213, 'f': 0.1917808169637832}, 'rouge-2': {'r': 0.041666666666666664, 'p': 0.05263157894736842, 'f': 0.04651162297458138}, 'rouge-l': {'r': 0.175, 'p': 0.21212121212121213, 'f': 0.1917808169637832}}]","[{'rouge-1': {'r': 0.22916666666666666, 'p': 0.3333333333333333, 'f': 0.27160493344307274}, 'rouge-2': {'r': 0.08620689655172414, 'p': 0.13157894736842105, 'f': 0.10416666188368078}, 'rouge-l': {'r': 0.22916666666666666, 'p': 0.3333333333333333, 'f': 0.27160493344307274}}]","[{'rouge-1': {'r': 0.20930232558139536, 'p': 0.2727272727272727, 'f': 0.23684210034972308}, 'rouge-2': {'r': 0.05555555555555555, 'p': 0.07894736842105263, 'f': 0.06521738645557693}, 'rouge-l': {'r': 0.20930232558139536, 'p': 0.2727272727272727, 'f': 0.23684210034972308}}]"
40,"[{'rouge-1': {'r': 0.6857142857142857, 'p': 0.46153846153846156, 'f': 0.5517241331219449}, 'rouge-2': {'r': 0.36585365853658536, 'p': 0.2542372881355932, 'f': 0.29999999516200004}, 'rouge-l': {'r': 0.6857142857142857, 'p': 0.46153846153846156, 'f': 0.5517241331219449}}]","[{'rouge-1': {'r': 0.27450980392156865, 'p': 0.5384615384615384, 'f': 0.363636359163434}, 'rouge-2': {'r': 0.11450381679389313, 'p': 0.2542372881355932, 'f': 0.1578947325601109}, 'rouge-l': {'r': 0.2647058823529412, 'p': 0.5192307692307693, 'f': 0.350649346176421}}]","[{'rouge-1': {'r': 0.5689655172413793, 'p': 0.6346153846153846, 'f': 0.599999995014876}, 'rouge-2': {'r': 0.36231884057971014, 'p': 0.423728813559322, 'f': 0.39062499503051756}, 'rouge-l': {'r': 0.5689655172413793, 'p': 0.6346153846153846, 'f': 0.599999995014876}}]"
41,"[{'rouge-1': {'r': 0.53125, 'p': 0.9444444444444444, 'f': 0.679999995392}, 'rouge-2': {'r': 0.4594594594594595, 'p': 0.85, 'f': 0.5964912235149277}, 'rouge-l': {'r': 0.5, 'p': 0.8888888888888888, 'f': 0.639999995392}}]","[{'rouge-1': {'r': 0.09433962264150944, 'p': 0.2777777777777778, 'f': 0.14084506663757204}, 'rouge-2': {'r': 0.016129032258064516, 'p': 0.05, 'f': 0.0243902402141588}, 'rouge-l': {'r': 0.07547169811320754, 'p': 0.2222222222222222, 'f': 0.112676052553065}}]","[{'rouge-1': {'r': 0.24, 'p': 0.6666666666666666, 'f': 0.3529411725778547}, 'rouge-2': {'r': 0.16393442622950818, 'p': 0.5, 'f': 0.24691357652796833}, 'rouge-l': {'r': 0.24, 'p': 0.6666666666666666, 'f': 0.3529411725778547}}]"
42,"[{'rouge-1': {'r': 0.18, 'p': 0.2727272727272727, 'f': 0.21686746508927285}, 'rouge-2': {'r': 0.017543859649122806, 'p': 0.02702702702702703, 'f': 0.021276590971028686}, 'rouge-l': {'r': 0.18, 'p': 0.2727272727272727, 'f': 0.21686746508927285}}]","[{'rouge-1': {'r': 0.10810810810810811, 'p': 0.36363636363636365, 'f': 0.16666666313368064}, 'rouge-2': {'r': 0.02097902097902098, 'p': 0.08108108108108109, 'f': 0.03333333006728428}, 'rouge-l': {'r': 0.10810810810810811, 'p': 0.36363636363636365, 'f': 0.16666666313368064}}]","[{'rouge-1': {'r': 0.17647058823529413, 'p': 0.2727272727272727, 'f': 0.2142857095153062}, 'rouge-2': {'r': 0.017241379310344827, 'p': 0.02702702702702703, 'f': 0.021052626823269773}, 'rouge-l': {'r': 0.17647058823529413, 'p': 0.2727272727272727, 'f': 0.2142857095153062}}]"
43,"[{'rouge-1': {'r': 0.38181818181818183, 'p': 0.42857142857142855, 'f': 0.40384614886279585}, 'rouge-2': {'r': 0.15254237288135594, 'p': 0.15789473684210525, 'f': 0.15517240879458993}, 'rouge-l': {'r': 0.36363636363636365, 'p': 0.40816326530612246, 'f': 0.3846153796320267}}]","[{'rouge-1': {'r': 0.1746031746031746, 'p': 0.4489795918367347, 'f': 0.25142856739657143}, 'rouge-2': {'r': 0.05142857142857143, 'p': 0.15789473684210525, 'f': 0.07758620319002692}, 'rouge-l': {'r': 0.16666666666666666, 'p': 0.42857142857142855, 'f': 0.23999999596800003}}]","[{'rouge-1': {'r': 0.23214285714285715, 'p': 0.2653061224489796, 'f': 0.24761904264126994}, 'rouge-2': {'r': 0.06349206349206349, 'p': 0.07017543859649122, 'f': 0.06666666167916704}, 'rouge-l': {'r': 0.21428571428571427, 'p': 0.24489795918367346, 'f': 0.2285714235936509}}]"
44,"[{'rouge-1': {'r': 0.26666666666666666, 'p': 0.4, 'f': 0.31999999520000005}, 'rouge-2': {'r': 0.07692307692307693, 'p': 0.13333333333333333, 'f': 0.09756097096966114}, 'rouge-l': {'r': 0.24444444444444444, 'p': 0.36666666666666664, 'f': 0.2933333285333334}}]","[{'rouge-1': {'r': 0.11666666666666667, 'p': 0.23333333333333334, 'f': 0.15555555111111127}, 'rouge-2': {'r': 0.02631578947368421, 'p': 0.06666666666666667, 'f': 0.03773584499822044}, 'rouge-l': {'r': 0.11666666666666667, 'p': 0.23333333333333334, 'f': 0.15555555111111127}}]","[{'rouge-1': {'r': 0.1794871794871795, 'p': 0.23333333333333334, 'f': 0.20289854580970398}, 'rouge-2': {'r': 0.04, 'p': 0.06666666666666667, 'f': 0.04999999531250044}, 'rouge-l': {'r': 0.1794871794871795, 'p': 0.23333333333333334, 'f': 0.20289854580970398}}]"
45,"[{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}]","[{'rouge-1': {'r': 0.4787234042553192, 'p': 0.8653846153846154, 'f': 0.6164383515781573}, 'rouge-2': {'r': 0.3893805309734513, 'p': 0.7457627118644068, 'f': 0.5116279024695782}, 'rouge-l': {'r': 0.4787234042553192, 'p': 0.8653846153846154, 'f': 0.6164383515781573}}]","[{'rouge-1': {'r': 0.9629629629629629, 'p': 1.0, 'f': 0.9811320704734782}, 'rouge-2': {'r': 0.9672131147540983, 'p': 1.0, 'f': 0.9833333283347223}, 'rouge-l': {'r': 0.9629629629629629, 'p': 1.0, 'f': 0.9811320704734782}}]"
46,"[{'rouge-1': {'r': 0.6129032258064516, 'p': 0.5588235294117647, 'f': 0.5846153796260355}, 'rouge-2': {'r': 0.35135135135135137, 'p': 0.3333333333333333, 'f': 0.3421052581613574}, 'rouge-l': {'r': 0.6129032258064516, 'p': 0.5588235294117647, 'f': 0.5846153796260355}}]","[{'rouge-1': {'r': 0.4819277108433735, 'p': 0.5882352941176471, 'f': 0.5298013195526513}, 'rouge-2': {'r': 0.24778761061946902, 'p': 0.358974358974359, 'f': 0.29319371244538256}, 'rouge-l': {'r': 0.46987951807228917, 'p': 0.5735294117647058, 'f': 0.5165562864400686}}]","[{'rouge-1': {'r': 0.5303030303030303, 'p': 0.5147058823529411, 'f': 0.5223880547026064}, 'rouge-2': {'r': 0.27848101265822783, 'p': 0.28205128205128205, 'f': 0.28025477207026656}, 'rouge-l': {'r': 0.5, 'p': 0.4852941176470588, 'f': 0.49253730843394966}}]"
47,"[{'rouge-1': {'r': 0.7368421052631579, 'p': 0.5833333333333334, 'f': 0.6511627857652786}, 'rouge-2': {'r': 0.5714285714285714, 'p': 0.46153846153846156, 'f': 0.5106382929289273}, 'rouge-l': {'r': 0.7368421052631579, 'p': 0.5833333333333334, 'f': 0.6511627857652786}}]","[{'rouge-1': {'r': 0.15037593984962405, 'p': 0.4166666666666667, 'f': 0.22099447124080462}, 'rouge-2': {'r': 0.07344632768361582, 'p': 0.25, 'f': 0.1135371143936997}, 'rouge-l': {'r': 0.14285714285714285, 'p': 0.3958333333333333, 'f': 0.20994474748389857}}]","[{'rouge-1': {'r': 0.3148148148148148, 'p': 0.3541666666666667, 'f': 0.33333332835063445}, 'rouge-2': {'r': 0.23214285714285715, 'p': 0.25, 'f': 0.24074073574759955}, 'rouge-l': {'r': 0.3148148148148148, 'p': 0.3541666666666667, 'f': 0.33333332835063445}}]"
48,"[{'rouge-1': {'r': 0.4634146341463415, 'p': 0.3584905660377358, 'f': 0.40425531423042105}, 'rouge-2': {'r': 0.20454545454545456, 'p': 0.15517241379310345, 'f': 0.1764705833294888}, 'rouge-l': {'r': 0.4634146341463415, 'p': 0.3584905660377358, 'f': 0.40425531423042105}}]","[{'rouge-1': {'r': 0.25, 'p': 0.5660377358490566, 'f': 0.3468208049984965}, 'rouge-2': {'r': 0.08484848484848485, 'p': 0.2413793103448276, 'f': 0.12556053426773123}, 'rouge-l': {'r': 0.23333333333333334, 'p': 0.5283018867924528, 'f': 0.3236994177152595}}]","[{'rouge-1': {'r': 0.3387096774193548, 'p': 0.39622641509433965, 'f': 0.36521738633497164}, 'rouge-2': {'r': 0.11538461538461539, 'p': 0.15517241379310345, 'f': 0.13235293628460226}, 'rouge-l': {'r': 0.3387096774193548, 'p': 0.39622641509433965, 'f': 0.36521738633497164}}]"
49,"[{'rouge-1': {'r': 0.2391304347826087, 'p': 0.2972972972972973, 'f': 0.2650602360226449}, 'rouge-2': {'r': 0.05555555555555555, 'p': 0.07317073170731707, 'f': 0.0631578898304713}, 'rouge-l': {'r': 0.17391304347826086, 'p': 0.21621621621621623, 'f': 0.19277107939613888}}]","[{'rouge-1': {'r': 0.07878787878787878, 'p': 0.35135135135135137, 'f': 0.12871286829477507}, 'rouge-2': {'r': 0.004273504273504274, 'p': 0.024390243902439025, 'f': 0.007272724735471961}, 'rouge-l': {'r': 0.07878787878787878, 'p': 0.35135135135135137, 'f': 0.12871286829477507}}]","[{'rouge-1': {'r': 0.13333333333333333, 'p': 0.10810810810810811, 'f': 0.11940298012920493}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.13333333333333333, 'p': 0.10810810810810811, 'f': 0.11940298012920493}}]"
